Order_id,Status,Adults,Seniors,Children,Theater_id,Movie_id,View_TimeAndDate,Customer_username,Card_number
0,unused,1,0,0,5,4,2016-07-26 23:45:00,user,1234567891011120
0,unused,1,0,0,5,10,2016-07-30 12:00:00,yoda,9012901290129010
0,unused,1,0,0,5,10,2016-07-31 12:00:00,erikk,8585959505050500
0,unused,2,0,0,5,10,2016-08-01 12:00:00,rah,1122334455667780
0,unused,1,0,2,5,10,2016-08-01 12:00:00,sankite,1020304050607080
0,unused,1,0,0,4,14,2016-07-31 20:00:00,jsmith,1033104410551060
0,unused,1,0,0,4,14,2016-08-01 20:00:00,ewatson,1190119011901190
0,unused,1,0,0,4,14,2016-08-01 20:00:00,dradcliffe,9999888877776660
0,unused,1,0,0,4,14,2016-08-01 20:00:00,pfreeman,9201920192019200
0,unused,1,0,0,6,14,2016-08-01 16:00:00,msweat,4567456545564000
0,unused,2,0,3,6,14,2016-08-01 16:00:00,klark,1001100210031000
0,unused,1,0,0,6,14,2016-08-01 16:00:00,kvishal,8393103000000000
0,unused,1,0,0,6,14,2016-08-01 16:00:00,tbrown,2525252525252520
0,unused,1,2,0,1,12,2016-08-01 16:00:00,jroberts,3535353535353530
0,unused,1,0,2,1,12,2016-08-01 16:00:00,pryan,5000500150025000
0,unused,2,0,0,1,12,2016-08-01 16:00:00,drdre,2652265326542650
0,unused,1,0,1,1,12,2016-08-01 16:00:00,excel,8391993020012220
0,unused,1,0,4,2,7,2016-07-29 12:00:00,cbelle,1111222233334440
0,unused,1,0,0,2,7,2016-07-30 12:00:00,tprice,8098809880988090
0,unused,1,0,3,2,7,2016-07-31 12:00:00,khuang,1011101210131010
