Order_id,Status,Adults,Seniors,Children,Theater_id,Movie_id,View_TimeAndDate,Customer_username,Card_number
0,completed,1,0,0,1,1,2016-05-01 13:45:00,user,1234567891011120
0,completed,1,0,0,2,2,2016-05-02 09:15:00,yoda,9012901290129010
0,completed,1,0,0,3,3,2016-05-14 10:15:00,erikk,8585959505050500
0,completed,2,0,0,4,1,2016-05-16 09:30:00,rah,1122334455667780
0,completed,1,0,2,5,2,2016-05-21 22:15:00,sankite,1020304050607080
0,completed,1,0,0,6,3,2016-05-27 19:30:00,jsmith,1033104410551060
0,completed,1,0,0,1,1,2016-05-27 20:30:00,ewatson,1190119011901190
0,completed,1,0,0,2,2,2016-05-28 21:00:00,dradcliffe,9999888877776660
0,completed,1,0,0,3,3,2016-06-08 10:45:00,pfreeman,9201920192019200
0,completed,1,0,0,4,1,2016-06-08 20:00:00,msweat,4567456545564000
0,completed,2,0,3,5,14,2016-06-08 20:15:00,klark,1001100210031000
0,completed,1,0,0,6,3,2016-06-09 00:00:00,kvishal,8393103000000000
0,completed,1,0,0,1,1,2016-06-09 13:00:00,tbrown,2525252525252520
0,completed,1,2,0,2,2,2016-06-11 09:15:00,jroberts,3535353535353530
0,completed,1,0,2,3,3,2016-06-11 09:45:00,pryan,5000500150025000
0,completed,2,0,0,4,14,2016-06-18 23:00:00,drdre,2652265326542650
0,completed,1,0,1,5,15,2016-06-18 23:30:00,excel,8391993020012220
0,completed,1,0,4,6,14,2016-06-19 14:30:00,cbelle,1111222233334440
0,completed,1,0,0,1,3,2016-06-25 14:30:00,tprice,8098809880988090
0,completed,1,0,3,2,14,2016-06-27 23:45:00,khuang,1011101210131010
0,completed,1,0,1,3,14,2016-06-29 10:30:00,klark,1001100210031000
0,completed,1,1,0,4,2,2016-06-30 13:15:00,kvishal,8393103000000000
0,completed,1,0,0,5,3,2016-06-30 15:30:00,tbrown,2525252525252520
0,completed,1,0,0,6,14,2016-07-01 18:00:00,jroberts,3535353535353530
0,completed,2,0,5,1,1,2016-07-01 19:15:00,pryan,5000500150025000
0,completed,3,1,0,2,10,2016-07-02 15:45:00,drdre,1809180918091800
0,completed,2,0,0,3,10,2016-07-03 09:00:00,excel,4040505060607070
0,completed,5,0,0,4,12,2016-07-03 10:45:00,cbelle,5151515151515150
0,completed,0,2,3,5,4,2016-07-04 23:45:00,tprice,2095209520910010
0,completed,1,0,0,6,5,2016-07-05 23:00:00,khuang,1617181945464740
0,completed,1,1,0,1,6,2016-07-05 23:15:00,user,1234567891011120
0,completed,2,1,1,2,7,2016-07-07 10:00:00,yoda,9012901290129010
0,completed,1,1,4,6,14,2016-07-01 18:00:00,erikk,8585959505050500
0,completed,1,0,2,1,1,2016-07-01 19:15:00,rah,1122334455667780
0,completed,1,0,0,2,10,2016-07-02 15:45:00,sankite,1020304050607080
0,completed,1,0,2,3,10,2016-07-03 09:00:00,jsmith,1033104410551060
0,completed,1,0,0,4,12,2016-07-03 10:45:00,ewatson,1190119011901190
0,completed,1,0,2,5,4,2016-07-04 23:45:00,dradcliffe,9999888877776660
0,completed,1,0,1,6,5,2016-07-05 23:00:00,pfreeman,9201920192019200
0,completed,1,2,2,1,6,2016-07-05 23:15:00,msweat,4567456545564000
0,completed,4,1,0,2,7,2016-07-07 10:00:00,user,1234567891011120
0,completed,1,1,1,4,12,2016-07-03 10:45:00,yoda,9012901290129010
0,completed,3,0,0,5,4,2016-07-04 23:45:00,erikk,8585959505050500
0,completed,1,1,0,6,5,2016-07-05 23:00:00,rah,1122334455667780
0,completed,1,0,0,1,6,2016-07-05 23:15:00,sankite,1020304050607080
0,completed,0,0,6,2,7,2016-07-07 10:00:00,jsmith,1033104410551060
0,completed,1,0,0,6,14,2016-07-01 18:00:00,ewatson,1190119011901190
0,completed,1,0,1,1,1,2016-07-01 19:15:00,dradcliffe,9999888877776660
0,completed,2,0,2,2,10,2016-07-02 15:45:00,pfreeman,9201920192019200
0,completed,1,0,0,1,1,2016-06-13 13:45:00,user,1234567891011120
0,completed,1,0,0,2,2,2016-06-14 09:15:00,yoda,9012901290129010
0,completed,1,0,0,3,3,2016-06-26 10:15:00,erikk,8585959505050500
0,completed,2,0,0,4,1,2016-06-28 09:30:00,rah,1122334455667780
0,completed,1,0,2,5,2,2016-07-03 22:15:00,sankite,1020304050607080
0,completed,1,0,0,6,3,2016-07-09 19:30:00,jsmith,1033104410551060
0,completed,1,0,0,1,1,2016-07-09 20:30:00,ewatson,1190119011901190
0,completed,1,0,0,2,2,2016-07-10 21:00:00,dradcliffe,9999888877776660
0,completed,1,0,0,3,3,2016-07-21 10:45:00,pfreeman,9201920192019200
0,completed,1,0,0,4,1,2016-07-21 20:00:00,msweat,4567456545564000
0,completed,2,0,3,5,14,2016-07-21 20:15:00,klark,1001100210031000
0,completed,1,0,0,6,3,2016-07-22 00:00:00,kvishal,8393103000000000
0,completed,1,0,0,1,1,2016-07-22 13:00:00,tbrown,2525252525252520
0,unused,1,2,0,2,2,2016-07-24 09:15:00,jroberts,3535353535353530
0,unused,1,0,2,3,3,2016-07-24 09:45:00,pryan,5000500150025000
0,completed,1,0,0,4,8,2016-07-19 23:45:00,drdre,2652265326542650
0,completed,1,0,0,4,9,2016-07-08 12:00:00,drdre,1809180918091800
0,completed,1,0,0,3,11,2016-07-15 23:00:00,khuang,1617181945464740
0,completed,1,0,0,1,11,2016-07-18 12:15:00,sankite,1020304050607080
0,completed,1,0,0,6,13,2016-07-18 11:30:00,jsmith,1033104410551060
